sigma,kappa,W_max,n1,n2,K_a,K_b,theta,bNina,bNino,beta_out,alpha,muEI,muIR,muRS,tau,rho,S_0,E_0,I_0,R_0,K_0,F_0,W_0,sig_obs,delta
0.001052734375,3.9e-5,248.14453125,5.1328125,13.837890625,0.19619140625000003,0.9966796875,1.4296875,-1.3359375,1.458984375,7.697265625e-4,0.8167968750000001,13.544921875,32.080078125,1.8330078125,0.0032324218750000005,0.009134765625,0.5751953125,0.00626953125,0.00251953125,0.3603515625,0.001755859375,0.006361328125,0.02958984375,9.27734375,0.016666666666666666
0.005552734375000001,3.9e-5,173.14453125,7.1328125,10.337890625,0.12119140625000001,0.9466796875,3.4296875,0.6640625,2.958984375,3.197265625e-4,0.9167968750000001,25.711588541666668,19.913411458333336,3.5830078125,0.007732421875000001,0.033634765625,0.8251953125,0.00126953125,0.00751953125,0.1103515625,0.006255859375000001,0.0018613281250000001,0.00458984375,14.27734375,0.016666666666666666
0.007802734375000001,3.9e-5,210.64453125,4.1328125,8.587890625,0.15869140625,0.9216796875000001,0.4296875,1.6640625,0.708984375,9.947265625e-4,0.966796875,19.628255208333332,13.830078125,0.9580078125,0.009982421875000001,0.021384765625000003,0.9501953125,0.00876953125,0.00501953125,0.4853515625,0.008505859375,0.008611328125000001,0.04208984375,11.77734375,0.016666666666666666
0.003302734375,3.9e-5,285.64453125,6.1328125,12.087890625,0.08369140625000002,0.9716796875,2.4296875,-0.3359375,2.208984375,5.447265625e-4,0.866796875,31.794921875,25.996744791666668,2.7080078125,0.005482421875000001,0.045884765625000004,0.7001953125,0.00376953125,1.953125e-5,0.2353515625,0.004005859375,0.004111328125000001,0.01708984375,6.77734375,0.016666666666666666
0.004427734375000001,3.9e-5,154.39453125,5.6328125,9.462890625,0.06494140625,0.9841796875,3.9296875,1.1640625,1.083984375,8.822265625e-4,0.941796875,16.586588541666664,29.038411458333336,3.1455078125,0.006607421875000001,0.015259765625000001,0.6376953125,0.00251953125,0.00626953125,0.0478515625,0.007380859375000001,0.005236328125,0.03583984375,10.52734375,0.016666666666666666
0.008927734375,3.9e-5,229.39453125,7.6328125,12.962890625,0.13994140625,0.9341796875,1.9296875,-0.8359375,2.583984375,4.322265625e-4,0.841796875,28.753255208333336,16.871744791666668,1.3955078125,0.0021074218750000004,0.039759765625000006,0.8876953125,0.00751953125,0.00126953125,0.2978515625,0.002880859375,0.009736328125000002,0.010839843750000001,5.52734375,0.016666666666666666
0.006677734375000001,3.9e-5,266.89453125,4.6328125,14.712890625,0.10244140625,0.9091796875,2.9296875,-1.8359375,0.333984375,6.572265625e-4,0.891796875,22.669921875,22.955078125,2.2705078125,0.004357421875000001,0.0030097656250000003,0.7626953125,1.953125e-5,0.00376953125,0.1728515625,0.0051308593750000004,0.0029863281250000003,0.04833984375,8.02734375,0.016666666666666666
0.0021777343750000004,3.9e-5,191.89453125,6.6328125,11.212890625,0.17744140625000004,0.9591796875,0.9296875,0.1640625,1.833984375,2.072265625e-4,0.991796875,34.83658854166667,35.12174479166667,0.5205078125,0.008857421875,0.027509765625,0.5126953125,0.00501953125,0.00876953125,0.4228515625,0.009630859375000002,0.007486328125,0.023339843750000002,13.02734375,0.016666666666666666
0.002740234375,3.9e-5,295.01953125,7.8828125,9.900390625,0.16806640625000002,0.9904296875,2.6796875,-1.0859375,0.896484375,1.5097656250000001e-4,0.954296875,27.232421875,21.434244791666668,1.6142578125,0.001544921875,0.012197265625000002,0.6064453125,0.00439453125,0.0068945312500000005,0.4541015625,0.001193359375,0.008048828125,0.045214843750000004,6.15234375,0.016666666666666666
0.007240234375000001,3.9e-5,220.01953125,5.8828125,13.400390625,0.09306640625000001,0.9404296875,0.6796875,0.9140625,2.396484375,6.009765625000001e-4,0.8542968750000001,15.065755208333332,33.600911458333336,3.3642578125,0.006044921875,0.036697265625,0.8564453125,0.009394531250000001,0.00189453125,0.2041015625,0.005693359375000001,0.0035488281250000003,0.020214843750000003,11.15234375,0.016666666666666666
0.009490234375,3.9e-5,182.51953125,6.8828125,11.650390625,0.13056640625000002,0.9154296875,3.6796875,1.9140625,0.146484375,3.759765625e-4,0.804296875,33.315755208333336,27.517578125,0.7392578125,0.008294921875,0.024447265625000002,0.9814453125,0.00189453125,0.00439453125,0.3291015625,0.007943359375,0.005798828125000001,0.03271484375,13.65234375,0.016666666666666666
0.004990234375,3.9e-5,257.51953125,4.8828125,8.150390625,0.055566406250000006,0.9654296875,1.6796875,-0.0859375,1.646484375,8.259765625e-4,0.904296875,21.149088541666664,15.350911458333332,2.4892578125,0.0037949218750000006,0.048947265625,0.7314453125,0.0068945312500000005,0.009394531250000001,0.0791015625,0.0034433593750000002,0.001298828125,0.00771484375,8.65234375,0.016666666666666666
0.003865234375,3.9e-5,201.26953125,7.3828125,12.525390625,0.07431640625000001,0.9779296875,0.1796875,1.4140625,1.271484375,4.884765625e-4,0.8792968750000001,30.274088541666664,12.309244791666666,3.8017578125,0.0071699218750000005,0.018322265625,0.6689453125,0.00564453125,0.00314453125,0.1416015625,0.006818359375000001,0.002423828125,0.038964843750000006,14.90234375,0.016666666666666666
0.008365234375,3.9e-5,276.26953125,5.3828125,9.025390625,0.14931640625000003,0.9279296875,2.1796875,-0.5859375,2.771484375,9.384765625000001e-4,0.979296875,18.107421875,24.475911458333336,2.0517578125,0.002669921875,0.042822265625,0.9189453125,6.4453125e-4,0.00814453125,0.3916015625,0.002318359375,0.006923828125000001,0.01396484375,9.90234375,0.016666666666666666
0.0061152343750000004,3.9e-5,238.76953125,6.3828125,10.775390625,0.11181640625000001,0.9029296875,1.1796875,-1.5859375,0.521484375,2.634765625e-4,0.929296875,36.357421875,30.55924479166667,2.9267578125,0.004919921875,0.006072265625,0.7939453125,0.00814453125,0.00564453125,0.0166015625,0.004568359375000001,0.0046738281250000005,0.02646484375,7.40234375,0.016666666666666666
0.0016152343750000001,3.9e-5,163.76953125,4.3828125,14.275390625,0.18681640625,0.9529296875,3.1796875,0.4140625,2.021484375,7.134765625e-4,0.829296875,24.190755208333336,18.392578125,1.1767578125,0.009419921875,0.030572265625,0.5439453125,0.00314453125,6.4453125e-4,0.2666015625,0.009068359375000001,0.009173828125000002,0.00146484375,12.40234375,0.016666666666666666
0.0018964843750000002,3.9e-5,224.70703125,4.5078125,12.306640625,0.14462890625000002,0.9498046875,2.0546875,-0.9609375,2.115234375,8.541015625e-4,0.960546875,32.55533854166667,35.882161458333336,2.8173828125,0.002388671875,0.032103515625,0.7470703125,0.00845703125,9.5703125e-4,0.1259765625,0.001474609375,0.009455078125000002,0.04990234375,13.96484375,0.016666666666666666
